Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
138,0.598551,0,-0.59855,0.48860265,0.178161774,0.765363507,-0.018533814,-0.003677344,0.022064065
139,0,-0.59855,-0.59855,0.486650153,0.175721203,0.772197146,-0.018533814,-0.003677344,0.022064065
140,0,-0.598551,0,0.492507543,0.181578593,0.773173394,-0.018092533,-0.003971532,0.02147569
141,0.59855,0,0.59855,0.492995617,0.184019164,0.785376249,-0.018092533,-0.003971532,0.02147569
142,-1.197101,0.598551,-0.59855,0.489090724,0.179626096,0.762434862,-0.018092533,-0.003971532,0.02147569
143,0.598551,0,-0.598551,0.490555046,0.173280632,0.774637717,-0.018092533,-0.003971532,0.02147569
144,-0.598551,0.59855,0,0.489090724,0.176209378,0.77512579,-0.018239627,-0.003824438,0.02147569
145,-0.598401,1.197101,0.598551,0.48274526,0.176697452,0.769756575,-0.018239627,-0.003824438,0.02147569
146,-0.59855,0.598551,0,0.481769011,0.175721203,0.776102039,-0.018239627,-0.003824438,0.02147569
147,0.59855,0.59855,0,0.48616208,0.169375739,0.750232008,-0.018239627,-0.003824438,0.02147569
148,-1.1971,-1.197101,0,0.485673904,0.174744954,0.770244648,-0.017945439,-0.004265719,0.02147569
149,1.1971,-0.59855,0.59855,0.485185831,0.169863812,0.77512579,-0.017945439,-0.004265719,0.02147569
150,0,0,-0.59855,0.49201947,0.174256881,0.776590214,-0.017945439,-0.004265719,0.02147569
151,-0.59855,0,0.59855,0.480304689,0.169375739,0.777078287,-0.017945439,-0.004265719,0.02147569
152,0.59855,-0.598551,-0.59855,0.485185831,0.176697452,0.763411111,-0.018239627,-0.003824438,0.021769877
153,0.598401,1.197101,0,0.48860265,0.176697452,0.769756575,-0.018239627,-0.003824438,0.021769877
154,-1.196951,0.598551,0.59855,0.489090724,0.182554842,0.776102039,-0.018239627,-0.003824438,0.021769877
155,0,0,0.59855,0.488114475,0.175233129,0.762434862,-0.017651252,-0.003971532,0.02147569
156,0,0,-0.59855,0.480304689,0.178649949,0.780495107,-0.017651252,-0.003971532,0.02147569
157,-0.59855,0,0,0.491531295,0.175721203,0.763411111,-0.017651252,-0.003971532,0.02147569
158,0.59855,0,0,0.48860265,0.174256881,0.766827931,-0.017651252,-0.003971532,0.02147569
159,0,0,0,0.483721509,0.174256881,0.791233639,-0.017798346,-0.004118625,0.021328596
160,0.59855,0.59855,0,0.488114475,0.177185525,0.76438736,-0.017798346,-0.004118625,0.021328596
161,0.598401,-0.59855,0,0.494948114,0.176697452,0.763411111,-0.017798346,-0.004118625,0.021328596
162,-0.598401,0.59855,-0.59855,0.487138328,0.173768807,0.775613965,-0.017798346,-0.004118625,0.021328596
163,-0.59855,0,-1.197101,0.490066972,0.178649949,0.77854261,-0.017945439,-0.004265719,0.022358252
164,0,0,0.59855,0.495924363,0.17181631,0.768292253,-0.017945439,-0.004265719,0.022358252
165,0.59855,0,0,0.484209582,0.176209378,0.783423751,-0.017945439,-0.004265719,0.022358252
166,0,0,-0.59855,0.48860265,0.177185525,0.785864322,-0.017945439,-0.004265719,0.022358252
167,0,0,-0.598551,0.488114475,0.181578593,0.766827931,-0.017798346,-0.004265719,0.021769877
168,0.598401,0,0,0.487626402,0.185971662,0.773173394,-0.017798346,-0.004265719,0.021769877
169,0,0.59855,0,0.487138328,0.171328236,0.770244648,-0.017798346,-0.004265719,0.021769877
170,-0.598401,0.598551,0.598551,0.489578899,0.176209378,0.776590214,-0.018239627,-0.003971532,0.021916971
171,-0.59855,0.59855,0,0.492507543,0.180114271,0.774637717,-0.018239627,-0.003971532,0.021916971
172,-0.59855,0.598551,0.59855,0.491531295,0.1776737,0.773173394,-0.018239627,-0.003971532,0.021916971
173,0,0.59855,-0.59855,0.481769011,0.17181631,0.774149643,-0.018239627,-0.003971532,0.021916971
174,0.59855,-0.59855,1.197101,0.494460041,0.177185525,0.773661468,-0.017798346,-0.004118625,0.021916971
175,0,-0.598551,0,0.484209582,0.176697452,0.775613965,-0.017798346,-0.004118625,0.021916971
176,0,0.598551,-1.197101,0.485185831,0.18109052,0.768780326,-0.017798346,-0.004118625,0.021916971
177,0,-0.598551,-0.598551,0.48616208,0.17181631,0.778054536,-0.017798346,-0.004118625,0.021916971
178,0.59855,0,0.598551,0.489090724,0.176209378,0.765851682,-0.017504158,-0.004707001,0.021769877
179,-0.59855,0,0,0.491531295,0.182554842,0.765363507,-0.017504158,-0.004707001,0.021769877
180,0,0.598551,0.59855,0.489578899,0.173768807,0.772197146,-0.017504158,-0.004707001,0.021769877
181,0,0,-0.59855,0.488114475,0.179138022,0.768292253,-0.017504158,-0.004707001,0.021769877
182,0,0,-0.598551,0.487138328,0.174744954,0.769756575,-0.017651252,-0.003971532,0.021769877
183,0,1.1971,0.598551,0.488114475,0.177185525,0.770244648,-0.017651252,-0.003971532,0.021769877
184,0.59855,0.598551,-0.598551,0.484209582,0.181578593,0.768780326,-0.017651252,-0.003971532,0.021769877
185,-1.1971,-0.598551,0,0.485185831,0.177185525,0.789281142,-0.017798346,-0.004118625,0.02147569
186,-0.598551,-0.59855,0.598551,0.48274526,0.183042915,0.763411111,-0.017798346,-0.004118625,0.02147569
187,1.197101,-0.59855,0,0.494460041,0.172792559,0.774149643,-0.017798346,-0.004118625,0.02147569
188,0,-1.197101,0,0.486650153,0.179138022,0.773173394,-0.017798346,-0.004118625,0.02147569
189,0.59855,0.59855,0,0.486650153,0.175721203,0.779030785,-0.017798346,-0.003677344,0.021328596
190,-0.59855,-0.59855,0,0.489090724,0.176209378,0.769268502,-0.017798346,-0.003677344,0.021328596
191,0,-0.598551,0.59855,0.484697655,0.177185525,0.77512579,-0.017798346,-0.003677344,0.021328596
192,-0.59855,0.598551,0.598551,0.478352192,0.183531091,0.790745464,-0.017798346,-0.003677344,0.021328596
193,0,0,-0.598551,0.481280938,0.18109052,0.77512579,-0.017798346,-0.004265719,0.021916971
194,0,0.59855,0,0.480792762,0.178161774,0.768292253,-0.017798346,-0.004265719,0.021916971
195,0,-0.59855,1.197101,0.488114475,0.175233129,0.788793068,-0.017798346,-0.004265719,0.021916971
196,-1.197101,1.197101,-0.59855,0.486650153,0.170351988,0.770244648,-0.017798346,-0.004265719,0.021916971
197,0,1.1971,0,0.48860265,0.173768807,0.77854261,-0.017798346,-0.003677344,0.022064065
198,1.197101,-1.1971,-1.197101,0.484209582,0.169863812,0.768292253,-0.017798346,-0.003677344,0.022064065
199,0,0,0.59855,0.483721509,0.173768807,0.7844,-0.017798346,-0.003677344,0.022064065
